Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Foreign Passport,190,53,243
 None,3497,12659,16156
 Child under 10 years,8004,18556,26560
 Total,51553,96468,148021
AREA # 131351,Talay(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3029,9874,12903
 Associate Scrutiny Card (blue),-,3,3
 Naturalised Scrutiny Card (green),5,8,13
 National Registration Card (3-fold),32,56,88
 Religious card,9,82,91
 Temporary Registration Card (white),5,31,36
 None,208,1259,1467
 Child under 10 years,681,2966,3647
 Total,3969,14279,18248
AREA # 131352,Kenglat(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2577,5210,7787
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),3,6,9
 National Registration Card (3-fold),21,53,74
 Religious card,1,9,10
 Temporary Registration Card (white),1,19,20
 Foreign Registration Card (FRC),1,1,2
 None,185,633,818
 Child under 10 years,456,1866,2322
 Total,3245,7799,11044
AREA # 131401,Minephyat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4528,15116,19644
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),11,9,20
 National Registration Card (3-fold),12,33,45
 Religious card,30,53,83
 Temporary Registration Card (white),2,35,37
 Foreign Passport,-,4,4
 None,374,2899,3273
 Child under 10 years,1117,6331,7448
 Total,6074,24482,30556
AREA # 131402,Mineyaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3968,16542,20510
 Associate Scrutiny Card (blue),-,7,7
 Naturalised Scrutiny Card (green),2,7,9
 National Registration Card (3-fold),6,135,141
 Religious card,15,94,109
 Temporary Registration Card (white),3,18,21
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,1,1
 None,222,2238,2460
 Child under 10 years,663,3636,4299
 Total,4880,22679,27559
AREA # 131451,Mineyu(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),809,13526,14335
 Associate Scrutiny Card (blue),-,89,89
 Naturalised Scrutiny Card (green),-,83,83
 National Registration Card (3-fold),1,17,18
 Religious card,7,16,23
 Temporary Registration Card (white),-,974,974
 Foreign Registration Card (FRC),-,438,438
 Foreign Passport,-,220,220
 None,23,25588,25611
 Child under 10 years,132,10408,10540
 Total,972,51359,52331
AREA # 140101,Kangyidaunt,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7165,95290,102455
 Associate Scrutiny Card (blue),31,62,93
 Naturalised Scrutiny Card (green),24,84,108
 National Registration Card (3-fold),12,286,298
 Religious card,72,402,474
 Temporary Registration Card (white),37,106,143
 Foreign Registration Card (FRC),11,5,16
 Foreign Passport,1,24,25
 None,1826,37776,39602
 Child under 10 years,1913,32863,34776
 Total,11092,166898,177990
AREA # 140102,Kyaungon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9988,83040,93028
 Associate Scrutiny Card (blue),2,23,25
 Naturalised Scrutiny Card (green),9,144,153
 National Registration Card (3-fold),112,463,575
 Religious card,52,347,399
 Temporary Registration Card (white),56,126,182
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,7,25,32
 None,3388,35183,38571
 Child under 10 years,2436,27630,30066
 Total,16052,146983,163035
AREA # 140103,Kyonpyaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15429,112093,127522
 Associate Scrutiny Card (blue),20,50,70
 Naturalised Scrutiny Card (green),26,167,193
 National Registration Card (3-fold),53,682,735
 Religious card,168,517,685
 Temporary Registration Card (white),29,76,105
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,3,16,19
 None,4551,57166,61717
 Child under 10 years,3687,40993,44680
 Total,23966,211761,235727
AREA # 140104,Ngaputaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7395,77402,84797
 Associate Scrutiny Card (blue),8,55,63
 Naturalised Scrutiny Card (green),6,182,188
 National Registration Card (3-fold),38,523,561
 Religious card,26,201,227
 Temporary Registration Card (white),5,96,101
 Foreign Registration Card (FRC),-,4,4
 Foreign Passport,-,17,17
 None,1553,44156,45709
 Child under 10 years,1651,35458,37109
 Total,10682,158094,168776
AREA # 140105,Pathein,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),114461,75569,190030
 Associate Scrutiny Card (blue),750,38,788
 Naturalised Scrutiny Card (green),465,86,551
 National Registration Card (3-fold),732,292,1024
 Religious card,1208,322,1530
 Temporary Registration Card (white),290,211,501
 Foreign Registration Card (FRC),171,10,181
 Foreign Passport,50,16,66
 None,28262,18916,47178
 Child under 10 years,23384,21838,45222
 Total,169773,117298,287071
AREA # 140106,Yekyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7595,57943,65538
 Associate Scrutiny Card (blue),3,32,35
 Naturalised Scrutiny Card (green),7,71,78
 National Registration Card (3-fold),12,518,530
 Religious card,63,302,365
 Temporary Registration Card (white),13,57,70
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,-,18,18
 None,1458,18873,20331
 Child under 10 years,1475,16627,18102
 Total,10627,94443,105070
AREA # 140107,Thapaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4830,76930,81760
 Associate Scrutiny Card (blue),22,31,53
 Naturalised Scrutiny Card (green),22,113,135
 National Registration Card (3-fold),20,829,849
 Religious card,67,311,378
 Temporary Registration Card (white),8,107,115
 Foreign Registration Card (FRC),4,4,8
 Foreign Passport,1,57,58
 None,1170,38373,39543
 Child under 10 years,1156,30345,31501
 Total,7300,147100,154400
AREA # 140151,Ngayokaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2343,22065,24408
 Associate Scrutiny Card (blue),-,6,6
 Naturalised Scrutiny Card (green),1,53,54
 National Registration Card (3-fold),4,258,262
 Religious card,7,57,64
 Temporary Registration Card (white),3,43,46
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,8,8
 None,406,8399,8805
 Child under 10 years,491,7049,7540
 Total,3256,37938,41194
AREA # 140152,Hainggyikyun(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9324,55728,65052
 Associate Scrutiny Card (blue),5,36,41
 Naturalised Scrutiny Card (green),14,66,80
 National Registration Card (3-fold),22,557,579
 Religious card,44,236,280
 Temporary Registration Card (white),11,86,97
 Foreign Registration Card (FRC),4,11,15
 Foreign Passport,4,12,16
 None,2925,24487,27412
 Child under 10 years,2441,18496,20937
 Total,14794,99715,114509
AREA # 140153,Shwethaungyan(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2148,28625,30773
 Associate Scrutiny Card (blue),-,17,17
 Naturalised Scrutiny Card (green),-,42,42
 National Registration Card (3-fold),4,92,96
 Religious card,12,80,92
 Temporary Registration Card (white),2,38,40
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,87,88
 None,414,9311,9725
 Child under 10 years,599,8064,8663
 Total,3180,46358,49538
AREA # 140154,Ngwehsaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9367,16741,26108
 Associate Scrutiny Card (blue),14,9,23
 Naturalised Scrutiny Card (green),34,25,59
 National Registration Card (3-fold),39,123,162
 Religious card,18,43,61
 Temporary Registration Card (white),16,13,29
 Foreign Registration Card (FRC),10,1,11
 Foreign Passport,230,-,230
 None,2618,6346,8964
 Child under 10 years,2143,6586,8729
 Total,14489,29887,44376
AREA # 140155,Ngathaingchaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11718,39707,51425
 Associate Scrutiny Card (blue),35,27,62
 Naturalised Scrutiny Card (green),37,58,95
 National Registration Card (3-fold),133,574,707
 Religious card,125,193,318
 Temporary Registration Card (white),17,216,233
 Foreign Registration Card (FRC),4,-,4
 Foreign Passport,1,10,11
 None,3559,16632,20191
 Child under 10 years,3114,12870,15984
 Total,18743,70287,89030
AREA # 140201,Kyaiklatt,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15925,100597,116522
 Associate Scrutiny Card (blue),31,24,55
 Naturalised Scrutiny Card (green),370,187,557
 National Registration Card (3-fold),61,488,549
 Religious card,200,404,604
 Temporary Registration Card (white),69,114,183
 Foreign Registration Card (FRC),41,3,44
 Foreign Passport,3,36,39
 None,3893,31749,35642
 Child under 10 years,3886,35259,39145
 Total,24479,168861,193340
AREA # 140202,Daydaye,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9740,102430,112170
 Associate Scrutiny Card (blue),91,38,129
 Naturalised Scrutiny Card (green),101,288,389
 National Registration Card (3-fold),45,557,602
 Religious card,147,629,776
 Temporary Registration Card (white),8,202,210
 Foreign Registration Card (FRC),13,6,19
 Foreign Passport,5,32,37
 None,2945,44949,47894
 Child under 10 years,2225,38475,40700
 Total,15320,187606,202926
AREA # 140203,Phyapon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),30169,74767,104936
 Associate Scrutiny Card (blue),97,39,136
 Naturalised Scrutiny Card (green),325,108,433
 National Registration Card (3-fold),106,386,492
 Religious card,496,414,910
 Temporary Registration Card (white),55,95,150
 Foreign Registration Card (FRC),92,4,96
 Foreign Passport,15,27,42
 None,9952,33763,43715
 Child under 10 years,7821,28612,36433
 Total,49128,138215,187343
AREA # 140204,Bogale,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),25282,120520,145802
 Associate Scrutiny Card (blue),47,76,123
 Naturalised Scrutiny Card (green),173,248,421
 National Registration Card (3-fold),246,1444,1690
 Religious card,252,785,1037
 Temporary Registration Card (white),51,581,632
 Foreign Registration Card (FRC),18,15,33
 Foreign Passport,20,55,75
 None,10228,91466,101694
 Child under 10 years,6907,64251,71158
 Total,43224,279441,322665
AREA # 140251,Ahmar(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1829,51095,52924
 Associate Scrutiny Card (blue),4,34,38
 Naturalised Scrutiny Card (green),2,62,64
 National Registration Card (3-fold),2,277,279
 Religious card,12,224,236
 Temporary Registration Card (white),-,61,61
 Foreign Passport,-,25,25
 None,715,41313,42028
 Child under 10 years,794,30330,31124
 Total,3358,123421,126779
AREA # 140301,Nyaungdon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15133,112490,127623
 Associate Scrutiny Card (blue),9,42,51
 Naturalised Scrutiny Card (green),66,131,197
 National Registration Card (3-fold),212,916,1128
 Religious card,359,525,884
 Temporary Registration Card (white),49,104,153
 Foreign Registration Card (FRC),40,-,40
 Foreign Passport,7,26,33
 None,4894,40259,45153
 Child under 10 years,3686,36958,40644
 Total,24455,191451,215906
AREA # 140302,Danubyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14938,91907,106845
 Associate Scrutiny Card (blue),36,25,61
 Naturalised Scrutiny Card (green),62,129,191
 National Registration Card (3-fold),91,1536,1627
 Religious card,174,593,767
 Temporary Registration Card (white),4,68,72
 Foreign Registration Card (FRC),9,1,10
 Foreign Passport,6,9,15
 None,3258,34483,37741
 Child under 10 years,3184,28840,32024
 Total,21762,157591,179353
AREA # 140303,Pantanaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12161,120240,132401
 Associate Scrutiny Card (blue),11,136,147
 Naturalised Scrutiny Card (green),32,360,392
 National Registration Card (3-fold),90,1248,1338
 Religious card,182,577,759
 Temporary Registration Card (white),18,240,258
 Foreign Registration Card (FRC),24,4,28
 Foreign Passport,-,45,45
 None,4230,73778,78008
 Child under 10 years,3072,48148,51220
 Total,19820,244776,264596
AREA # 140304,Maubin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),26688,138619,165307
 Associate Scrutiny Card (blue),138,58,196
 Naturalised Scrutiny Card (green),103,246,349
 National Registration Card (3-fold),169,1152,1321
 Religious card,511,779,1290
 Temporary Registration Card (white),39,196,235
 Foreign Registration Card (FRC),41,13,54
 Foreign Passport,8,27,35
 None,9217,74210,83427
 Child under 10 years,6197,55682,61879
 Total,43111,270982,314093
AREA # 140401,Myaungmya,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),36086,120586,156672
 Associate Scrutiny Card (blue),116,73,189
 Naturalised Scrutiny Card (green),154,213,367
 National Registration Card (3-fold),308,721,1029
 Religious card,433,590,1023
 Temporary Registration Card (white),34,157,191
 Foreign Registration Card (FRC),88,5,93
 Foreign Passport,13,36,49
 None,12575,67914,80489
 Child under 10 years,8891,49644,58535
 Total,58698,239939,298637
AREA # 140402,Wakema,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14123,137286,151409
 Associate Scrutiny Card (blue),25,80,105
 Naturalised Scrutiny Card (green),35,379,414
 National Registration Card (3-fold),238,3453,3691
 Religious card,196,710,906
 Temporary Registration Card (white),15,174,189
 Foreign Registration Card (FRC),3,10,13
 Foreign Passport,-,54,54
 None,4170,70936,75106
 Child under 10 years,3376,53843,57219
 Total,22181,266925,289106
AREA # 140403,Einme,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9318,99196,108514
 Associate Scrutiny Card (blue),20,33,53
 Naturalised Scrutiny Card (green),15,144,159
 National Registration Card (3-fold),30,393,423
 Religious card,57,398,455
 Temporary Registration Card (white),8,110,118
 Foreign Registration Card (FRC),5,8,13
 Foreign Passport,1,35,36
 None,2062,43677,45739
 Child under 10 years,2038,36553,38591
 Total,13554,180547,194101
AREA # 140501,Mawlamyinegyun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),21052,146378,167430
 Associate Scrutiny Card (blue),33,55,88
 Naturalised Scrutiny Card (green),67,179,246
 National Registration Card (3-fold),54,352,406
 Religious card,365,691,1056
 Temporary Registration Card (white),54,274,328
 Foreign Registration Card (FRC),8,3,11
 Foreign Passport,13,41,54
 None,6079,71470,77549
 Child under 10 years,5190,58982,64172
 Total,32915,278425,311340
AREA # 140502,Labutta,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),18775,85767,104542
 Associate Scrutiny Card (blue),59,46,105
 Naturalised Scrutiny Card (green),37,120,157
 National Registration Card (3-fold),156,748,904
 Religious card,197,400,597
 Temporary Registration Card (white),18,129,147
 Foreign Registration Card (FRC),10,-,10
 Foreign Passport,4,31,35
 None,7012,67236,74248
 Child under 10 years,4906,44278,49184
 Total,31174,198755,229929
AREA # 140551,Pyinsalu(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1150,36772,37922
 Associate Scrutiny Card (blue),3,13,16
 Naturalised Scrutiny Card (green),-,61,61
 National Registration Card (3-fold),5,216,221
 Religious card,7,136,143
 Temporary Registration Card (white),8,43,51
 Foreign Passport,-,5,5
 None,474,24291,24765
 Child under 10 years,582,21523,22105
 Total,2229,83060,85289
AREA # 140601,Kyangin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14294,51432,65726
 Associate Scrutiny Card (blue),13,9,22
 Naturalised Scrutiny Card (green),17,41,58
 National Registration Card (3-fold),38,354,392
 Religious card,94,282,376
 Temporary Registration Card (white),7,118,125
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,-,4,4
 None,2416,13324,15740
 Child under 10 years,2615,11021,13636
 Total,19495,76588,96083
AREA # 140602,Zalun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13128,82045,95173
 Associate Scrutiny Card (blue),15,30,45
 Naturalised Scrutiny Card (green),32,133,165
 National Registration Card (3-fold),152,1737,1889
 Religious card,104,368,472
 Temporary Registration Card (white),12,63,75
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,20,21
 None,4442,35063,39505
 Child under 10 years,3368,27488,30856
 Total,21254,146949,168203
AREA # 140603,Myanaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),16492,117290,133782
 Associate Scrutiny Card (blue),24,48,72
 Naturalised Scrutiny Card (green),30,94,124
 National Registration Card (3-fold),16,746,762
 Religious card,197,593,790
 Temporary Registration Card (white),61,197,258
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,3,16,19
 None,2734,44465,47199
 Child under 10 years,2991,32580,35571
 Total,22550,196031,218581
AREA # 140604,Laymyethna,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2007,55265,57272
 Associate Scrutiny Card (blue),-,22,22
 Naturalised Scrutiny Card (green),-,66,66
 National Registration Card (3-fold),6,340,346
 Religious card,37,294,331
 Temporary Registration Card (white),4,67,71
 Foreign Passport,-,19,19
 None,373,25764,26137
 Child under 10 years,430,18330,18760
 Total,2857,100167,103024
AREA # 140605,Hinthada,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),53223,147363,200586
 Associate Scrutiny Card (blue),243,68,311
 Naturalised Scrutiny Card (green),290,289,579
 National Registration Card (3-fold),483,1669,2152
 Religious card,1021,745,1766
 Temporary Registration Card (white),159,213,372
 Foreign Registration Card (FRC),51,5,56
 Foreign Passport,13,34,47
 None,16177,59304,75481
 Child under 10 years,12102,44983,57085
 Total,83762,254673,338435
AREA # 140606,Ingapu,*,*
