Activity_status,Sex_Male,Sex_Female,Sex_Total
 Employee (Government),462,72,534
" Employee (Private, Org)",5155,2255,7410
 Employer,202,73,275
 Own account worker,6213,3929,10142
 Contributing family worker,2822,2555,5377
 Sought work,302,132,434
 Did not seek work,208,135,343
 Full time student,2208,1988,4196
 Household work,236,3051,3287
" Pensioner, retired, elderly person",400,628,1028
" Ill, disabled",105,86,191
 Other,258,163,421
 Total,18571,15067,33638
NotApp :,10181,*,*
AREA # 131254,Monehta(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),50,11,61
" Employee (Private, Org)",737,148,885
 Employer,6,5,11
 Own account worker,761,564,1325
 Contributing family worker,53,107,160
 Sought work,38,4,42
 Did not seek work,14,16,30
 Full time student,173,97,270
 Household work,25,184,209
" Pensioner, retired, elderly person",23,31,54
" Ill, disabled",5,4,9
 Other,24,20,44
 Total,1909,1191,3100
NotApp :,1176,*,*
AREA # 131301,Tachileik,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1872,901,2773
" Employee (Private, Org)",19356,9580,28936
 Employer,1334,892,2226
 Own account worker,18440,12262,30702
 Contributing family worker,4395,5642,10037
 Sought work,1567,1112,2679
 Did not seek work,698,405,1103
 Full time student,5974,6665,12639
 Household work,1495,17241,18736
" Pensioner, retired, elderly person",2219,3405,5624
" Ill, disabled",299,233,532
 Other,3738,1736,5474
 Total,61387,60074,121461
NotApp :,26560,*,*
AREA # 131351,Talay(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),624,115,739
" Employee (Private, Org)",962,316,1278
 Employer,78,23,101
 Own account worker,3384,2364,5748
 Contributing family worker,958,967,1925
 Sought work,65,47,112
 Did not seek work,21,28,49
 Full time student,806,892,1698
 Household work,127,1462,1589
" Pensioner, retired, elderly person",299,500,799
" Ill, disabled",51,57,108
 Other,319,136,455
 Total,7694,6907,14601
NotApp :,3647,*,*
AREA # 131352,Kenglat(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),96,47,143
" Employee (Private, Org)",414,94,508
 Employer,29,12,41
 Own account worker,1566,492,2058
 Contributing family worker,1711,2004,3715
 Sought work,18,12,30
 Did not seek work,4,3,7
 Full time student,341,400,741
 Household work,88,669,757
" Pensioner, retired, elderly person",165,272,437
" Ill, disabled",22,13,35
 Other,163,87,250
 Total,4617,4105,8722
NotApp :,2322,*,*
AREA # 131401,Minephyat,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1661,294,1955
" Employee (Private, Org)",1088,225,1313
 Employer,143,36,179
 Own account worker,5155,1783,6938
 Contributing family worker,1731,2860,4591
 Sought work,164,105,269
 Did not seek work,157,90,247
 Full time student,965,1205,2170
 Household work,299,3192,3491
" Pensioner, retired, elderly person",418,663,1081
" Ill, disabled",33,35,68
 Other,635,171,806
 Total,12449,10659,23108
NotApp :,7448,*,*
AREA # 131402,Mineyaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),923,264,1187
" Employee (Private, Org)",551,80,631
 Employer,198,141,339
 Own account worker,5873,2437,8310
 Contributing family worker,2454,3434,5888
 Sought work,275,243,518
 Did not seek work,65,37,102
 Full time student,592,796,1388
 Household work,138,2504,2642
" Pensioner, retired, elderly person",538,830,1368
" Ill, disabled",73,64,137
 Other,631,119,750
 Total,12311,10949,23260
NotApp :,4299,*,*
AREA # 131451,Mineyu(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),272,60,332
" Employee (Private, Org)",1895,821,2716
 Employer,262,147,409
 Own account worker,10422,5394,15816
 Contributing family worker,4798,6627,11425
 Sought work,115,103,218
 Did not seek work,111,80,191
 Full time student,2175,1567,3742
 Household work,393,3057,3450
" Pensioner, retired, elderly person",802,1530,2332
" Ill, disabled",141,111,252
 Other,701,207,908
 Total,22087,19704,41791
NotApp :,10540,*,*
AREA # 140101,Kangyidaunt,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1157,1265,2422
" Employee (Private, Org)",20035,9972,30007
 Employer,8083,1427,9510
 Own account worker,15194,6007,21201
 Contributing family worker,5316,6392,11708
 Sought work,1514,1167,2681
 Did not seek work,253,147,400
 Full time student,9233,9118,18351
 Household work,521,31079,31600
" Pensioner, retired, elderly person",2154,3426,5580
" Ill, disabled",792,746,1538
 Other,5060,3156,8216
 Total,69312,73902,143214
NotApp :,34776,*,*
AREA # 140102,Kyaungon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),890,1149,2039
" Employee (Private, Org)",22234,12683,34917
 Employer,6960,1738,8698
 Own account worker,13647,6444,20091
 Contributing family worker,4560,6969,11529
 Sought work,1005,905,1910
 Did not seek work,150,113,263
 Full time student,8013,8400,16413
 Household work,542,25725,26267
" Pensioner, retired, elderly person",2338,3429,5767
" Ill, disabled",693,720,1413
 Other,2381,1281,3662
 Total,63413,69556,132969
NotApp :,30066,*,*
AREA # 140103,Kyonpyaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1328,1846,3174
" Employee (Private, Org)",28040,12570,40610
 Employer,8141,1813,9954
 Own account worker,20775,9194,29969
 Contributing family worker,6767,8224,14991
 Sought work,2173,1521,3694
 Did not seek work,236,135,371
 Full time student,12393,12861,25254
 Household work,664,41268,41932
" Pensioner, retired, elderly person",3834,5690,9524
" Ill, disabled",1022,946,1968
 Other,5856,3750,9606
 Total,91229,99818,191047
NotApp :,44680,*,*
AREA # 140104,Ngaputaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),861,1060,1921
" Employee (Private, Org)",19296,4545,23841
 Employer,4556,772,5328
 Own account worker,17717,6566,24283
 Contributing family worker,5301,5134,10435
 Sought work,2099,1275,3374
 Did not seek work,349,278,627
 Full time student,9034,9405,18439
 Household work,758,31874,32632
" Pensioner, retired, elderly person",2438,3528,5966
" Ill, disabled",568,557,1125
 Other,2479,1217,3696
 Total,65456,66211,131667
NotApp :,37109,*,*
AREA # 140105,Pathein,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8607,6093,14700
" Employee (Private, Org)",33189,16480,49669
 Employer,4814,1634,6448
 Own account worker,27324,15381,42705
 Contributing family worker,4822,4998,9820
 Sought work,2925,2061,4986
 Did not seek work,430,244,674
 Full time student,15565,16183,31748
 Household work,1303,50061,51364
" Pensioner, retired, elderly person",6230,8125,14355
" Ill, disabled",1084,993,2077
 Other,8386,4917,13303
 Total,114679,127170,241849
NotApp :,45222,*,*
AREA # 140106,Yekyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),888,1015,1903
" Employee (Private, Org)",11547,4575,16122
 Employer,5525,1068,6593
 Own account worker,8289,3220,11509
 Contributing family worker,2316,2794,5110
 Sought work,1091,707,1798
 Did not seek work,155,71,226
 Full time student,5584,5552,11136
 Household work,355,22483,22838
" Pensioner, retired, elderly person",1981,2981,4962
" Ill, disabled",406,390,796
 Other,2516,1459,3975
 Total,40653,46315,86968
NotApp :,18102,*,*
AREA # 140107,Thapaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1879,1883,3762
" Employee (Private, Org)",15042,6655,21697
 Employer,6105,1213,7318
 Own account worker,14656,5446,20102
 Contributing family worker,4951,6005,10956
 Sought work,1363,901,2264
 Did not seek work,227,147,374
 Full time student,8376,8832,17208
 Household work,762,26474,27236
" Pensioner, retired, elderly person",1877,2868,4745
" Ill, disabled",533,530,1063
 Other,4000,2174,6174
 Total,59771,63128,122899
NotApp :,31501,*,*
AREA # 140151,Ngayokaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),304,188,492
" Employee (Private, Org)",5058,1073,6131
 Employer,1091,280,1371
 Own account worker,5131,1409,6540
 Contributing family worker,1112,1785,2897
 Sought work,703,451,1154
 Did not seek work,84,44,128
 Full time student,1962,2037,3999
 Household work,161,7796,7957
" Pensioner, retired, elderly person",796,1114,1910
" Ill, disabled",185,163,348
 Other,477,250,727
 Total,17064,16590,33654
NotApp :,7540,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1412,891,2303
" Employee (Private, Org)",14831,2540,17371
 Employer,2220,423,2643
 Own account worker,14196,5238,19434
 Contributing family worker,2025,2562,4587
 Sought work,1703,1030,2733
 Did not seek work,223,268,491
 Full time student,5550,5996,11546
 Household work,482,22919,23401
" Pensioner, retired, elderly person",1953,2879,4832
" Ill, disabled",495,368,863
 Other,2231,1137,3368
 Total,47321,46251,93572
NotApp :,20937,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),391,439,830
" Employee (Private, Org)",4545,2116,6661
 Employer,553,212,765
 Own account worker,6585,2128,8713
 Contributing family worker,909,1407,2316
 Sought work,655,308,963
 Did not seek work,78,36,114
 Full time student,2867,3026,5893
 Household work,229,8774,9003
" Pensioner, retired, elderly person",611,925,1536
" Ill, disabled",137,115,252
 Other,2570,1259,3829
 Total,20130,20745,40875
NotApp :,8663,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),279,208,487
" Employee (Private, Org)",6807,2308,9115
 Employer,715,103,818
 Own account worker,4254,1413,5667
 Contributing family worker,949,887,1836
 Sought work,562,261,823
 Did not seek work,125,47,172
 Full time student,1986,2139,4125
 Household work,229,8263,8492
" Pensioner, retired, elderly person",612,856,1468
" Ill, disabled",159,146,305
 Other,1604,735,2339
 Total,18281,17366,35647
NotApp :,8729,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),679,594,1273
" Employee (Private, Org)",7808,2882,10690
 Employer,2572,492,3064
 Own account worker,9298,4045,13343
 Contributing family worker,1859,2138,3997
 Sought work,1131,632,1763
 Did not seek work,175,83,258
 Full time student,4430,4336,8766
 Household work,355,18514,18869
" Pensioner, retired, elderly person",1446,2285,3731
" Ill, disabled",299,326,625
 Other,4465,2202,6667
 Total,34517,38529,73046
NotApp :,15984,*,*
AREA # 140201,Kyaiklatt,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),839,1473,2312
" Employee (Private, Org)",18559,9938,28497
 Employer,4331,1257,5588
 Own account worker,21235,7965,29200
 Contributing family worker,6413,7024,13437
 Sought work,1567,947,2514
 Did not seek work,235,153,388
 Full time student,10292,10355,20647
 Household work,561,30999,31560
" Pensioner, retired, elderly person",2713,4420,7133
" Ill, disabled",800,707,1507
 Other,7450,3962,11412
 Total,74995,79200,154195
NotApp :,39145,*,*
AREA # 140202,Daydaye,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),901,1571,2472
" Employee (Private, Org)",25588,7434,33022
 Employer,6791,1406,8197
 Own account worker,19362,8188,27550
 Contributing family worker,4811,5131,9942
 Sought work,2081,1097,3178
 Did not seek work,335,215,550
 Full time student,11283,11686,22969
 Household work,835,39725,40560
" Pensioner, retired, elderly person",2896,4436,7332
" Ill, disabled",835,713,1548
 Other,3422,1484,4906
 Total,79140,83086,162226
NotApp :,40700,*,*
AREA # 140203,Phyapon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1623,1904,3527
" Employee (Private, Org)",22592,6636,29228
 Employer,4229,998,5227
 Own account worker,14812,6538,21350
 Contributing family worker,4394,2651,7045
 Sought work,2207,1248,3455
 Did not seek work,420,253,673
 Full time student,10927,10940,21867
 Household work,933,37013,37946
" Pensioner, retired, elderly person",2964,4498,7462
" Ill, disabled",925,701,1626
 Other,7479,4025,11504
 Total,73505,77405,150910
NotApp :,36433,*,*
AREA # 140204,Bogale,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1560,2238,3798
" Employee (Private, Org)",31600,12791,44391
 Employer,8574,2012,10586
 Own account worker,33215,12810,46025
 Contributing family worker,8902,11778,20680
 Sought work,2561,1499,4060
 Did not seek work,410,256,666
 Full time student,18039,18184,36223
 Household work,1234,52075,53309
" Pensioner, retired, elderly person",3795,6323,10118
" Ill, disabled",1363,1326,2689
 Other,12166,6796,18962
 Total,123419,128088,251507
NotApp :,71158,*,*
AREA # 140251,Ahmar(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),310,296,606
" Employee (Private, Org)",16702,4850,21552
 Employer,1292,315,1607
 Own account worker,13909,4693,18602
 Contributing family worker,2700,1693,4393
 Sought work,1007,609,1616
 Did not seek work,289,213,502
 Full time student,6984,6960,13944
 Household work,525,23340,23865
" Pensioner, retired, elderly person",1316,2182,3498
" Ill, disabled",518,396,914
 Other,2557,1999,4556
 Total,48109,47546,95655
NotApp :,31124,*,*
AREA # 140301,Nyaungdon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1763,1479,3242
" Employee (Private, Org)",21665,11015,32680
 Employer,2928,899,3827
 Own account worker,29232,15442,44674
 Contributing family worker,6960,8413,15373
 Sought work,1224,649,1873
 Did not seek work,279,142,421
 Full time student,10710,10671,21381
 Household work,825,32996,33821
" Pensioner, retired, elderly person",3664,5237,8901
" Ill, disabled",900,860,1760
 Other,5125,2184,7309
 Total,85275,89987,175262
NotApp :,40644,*,*
AREA # 140302,Danubyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1240,1500,2740
" Employee (Private, Org)",17896,8554,26450
 Employer,3251,799,4050
 Own account worker,18931,8949,27880
 Contributing family worker,4085,4674,8759
 Sought work,1383,990,2373
 Did not seek work,153,89,242
 Full time student,8612,8826,17438
 Household work,787,32583,33370
" Pensioner, retired, elderly person",3453,5204,8657
" Ill, disabled",776,752,1528
 Other,8975,4867,13842
 Total,69542,77787,147329
NotApp :,32024,*,*
AREA # 140303,Pantanaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1225,1463,2688
" Employee (Private, Org)",18395,10411,28806
 Employer,5248,2303,7551
 Own account worker,37323,24757,62080
 Contributing family worker,10981,15638,26619
 Sought work,3617,2340,5957
 Did not seek work,296,183,479
 Full time student,12549,12691,25240
 Household work,823,29307,30130
" Pensioner, retired, elderly person",3913,5718,9631
" Ill, disabled",912,907,1819
 Other,7208,5168,12376
 Total,102490,110886,213376
NotApp :,51220,*,*
AREA # 140304,Maubin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2432,2949,5381
" Employee (Private, Org)",32510,16956,49466
 Employer,8584,3505,12089
 Own account worker,34538,17317,51855
 Contributing family worker,10175,13385,23560
 Sought work,2244,1508,3752
 Did not seek work,310,196,506
 Full time student,18187,18763,36950
 Household work,1228,44902,46130
" Pensioner, retired, elderly person",5015,7238,12253
" Ill, disabled",1097,1065,2162
 Other,5345,2765,8110
 Total,121665,130549,252214
NotApp :,61879,*,*
AREA # 140401,Myaungmya,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2312,3220,5532
" Employee (Private, Org)",32425,14381,46806
 Employer,7023,1923,8946
 Own account worker,30961,14751,45712
 Contributing family worker,8685,8368,17053
 Sought work,3111,1876,4987
 Did not seek work,516,254,770
 Full time student,16141,16838,32979
 Household work,1347,49367,50714
" Pensioner, retired, elderly person",5218,7473,12691
" Ill, disabled",1257,1126,2383
 Other,7439,4090,11529
 Total,116435,123667,240102
NotApp :,58535,*,*
AREA # 140402,Wakema,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1429,2254,3683
" Employee (Private, Org)",26967,13918,40885
 Employer,9052,3411,12463
 Own account worker,33200,17102,50302
 Contributing family worker,9485,12073,21558
 Sought work,3050,2165,5215
 Did not seek work,575,412,987
 Full time student,15418,15320,30738
 Household work,1118,41283,42401
" Pensioner, retired, elderly person",4854,7341,12195
" Ill, disabled",1151,1043,2194
 Other,5683,3583,9266
 Total,111982,119905,231887
NotApp :,57219,*,*
AREA # 140403,Einme,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1081,1360,2441
" Employee (Private, Org)",20222,8995,29217
 Employer,6335,1551,7886
 Own account worker,19830,8036,27866
 Contributing family worker,6121,5518,11639
 Sought work,1310,856,2166
 Did not seek work,334,224,558
 Full time student,10154,10299,20453
 Household work,835,35870,36705
" Pensioner, retired, elderly person",2779,4236,7015
" Ill, disabled",704,714,1418
 Other,5363,2783,8146
