Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,12,3,1,1,-,1,1,1,-,2,1,1,1,1,1,1,-,-,1,1,3,5,-,-,-,2,2,2,-,4,4,3,4,2,2,2,-,2,4,3,2,2,6,1,-,2,3,4,4,1,2,2,1,1,2,4,6,3,4,3,5,4,2,1,1,3,2,3,1,-,2,1,3,1,-,1,2,1,1,1,1,-,-,-,-,-,-,2,2,-,3,170
 Female,14,1,1,1,2,-,1,-,-,-,-,2,1,-,3,-,-,-,3,-,-,1,2,-,-,-,-,2,-,1,1,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,-,1,1,1,2,1,4,1,2,3,4,2,1,1,2,3,1,1,-,2,-,3,2,-,2,-,2,2,2,1,2,1,-,3,3,2,-,1,3,1,1,-,-,-,9,113
 Total,26,4,2,2,2,1,2,1,-,2,1,3,2,1,4,1,-,-,4,1,3,6,2,-,-,2,2,4,-,5,5,3,4,2,2,3,1,2,4,3,2,2,8,1,-,2,3,5,5,2,4,3,5,2,4,7,10,5,5,4,7,7,3,2,1,5,2,6,3,-,4,1,5,3,2,2,4,2,1,4,4,2,-,1,3,1,1,2,2,-,12,283
AREA # 130605,Namsan(North),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,23,7,3,1,1,-,1,-,3,-,-,1,-,-,-,1,-,-,1,1,1,1,-,1,1,1,1,2,2,-,2,-,4,3,-,3,5,-,4,4,1,3,2,-,6,2,3,2,2,-,4,2,3,5,4,5,5,2,3,1,4,2,5,3,2,4,5,2,3,1,2,3,1,6,1,2,4,1,3,1,5,2,5,1,2,2,-,1,3,-,4,213
 Female,18,7,-,5,3,1,-,-,-,1,1,1,1,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,2,3,-,1,-,3,-,-,-,2,3,2,2,1,1,1,2,1,1,3,-,3,1,1,1,5,-,1,4,1,-,4,2,6,2,1,3,3,1,2,3,7,2,5,4,2,4,7,2,5,1,4,6,1,4,5,-,2,2,2,1,7,187
 Total,41,14,3,6,4,1,1,-,3,1,1,2,1,1,1,1,1,-,1,1,1,1,-,2,1,1,1,2,2,2,5,-,5,3,3,3,5,-,6,7,3,5,3,1,7,4,4,3,5,-,7,3,4,6,9,5,6,6,4,1,8,4,11,5,3,7,8,3,5,4,9,5,6,10,3,6,11,3,8,2,9,8,6,5,7,2,2,3,5,1,11,400
AREA # 130606,Momeik,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,16,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,3,2,1,-,-,3,2,1,2,-,-,3,2,5,5,1,3,2,1,-,3,2,3,-,5,3,6,5,4,-,4,1,7,3,4,1,1,4,10,3,3,3,6,3,2,3,5,2,1,4,1,3,-,4,5,2,4,1,-,-,1,1,2,2,1,-,2,1,2,189
 Female,5,2,-,-,2,-,1,1,1,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,1,-,-,1,-,1,-,1,-,3,3,-,1,2,2,1,-,2,1,1,5,3,1,-,3,2,4,1,3,1,1,-,5,5,1,2,1,3,1,1,1,1,-,1,2,3,2,-,2,3,-,3,1,3,3,-,3,3,1,3,7,123
 Total,21,2,-,-,2,-,1,1,1,-,1,1,-,1,1,1,-,1,-,1,-,-,3,3,1,2,-,3,2,1,3,-,-,4,2,6,5,2,3,5,4,-,4,4,5,1,5,5,7,6,9,3,5,1,10,5,8,2,4,5,11,3,8,8,7,5,3,6,6,3,2,5,1,4,2,7,7,2,6,4,-,3,2,4,5,2,4,3,3,4,9,312
AREA # 130607,Mabane,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,6,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,3,1,2,2,2,1,2,2,1,2,1,-,3,1,1,1,2,4,1,1,1,-,3,2,2,1,4,1,1,3,2,-,-,2,-,1,3,1,2,1,4,1,2,3,-,1,-,1,1,-,2,2,-,-,1,1,2,-,-,-,2,99
 Female,5,1,-,2,-,-,-,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,1,2,1,1,-,1,2,1,1,1,1,2,1,1,-,-,1,-,-,-,2,-,-,1,-,-,-,-,2,-,2,-,-,-,-,1,-,1,1,1,1,1,1,1,-,2,-,1,51
 Total,11,3,-,2,-,-,-,1,-,-,1,-,-,1,-,2,-,-,2,-,1,-,-,-,-,-,-,-,-,1,3,1,2,3,3,1,3,2,1,2,1,-,4,2,3,2,3,4,2,3,2,1,4,3,4,2,5,1,1,4,2,-,-,4,-,1,4,1,2,1,4,3,2,5,-,1,-,1,2,-,3,3,1,1,2,2,3,-,2,-,3,150
AREA # 130608,Manton,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,15,9,3,1,5,-,2,1,-,-,-,-,-,-,-,1,1,-,3,-,1,-,1,1,-,3,1,-,-,-,1,-,-,1,1,3,-,1,1,-,4,-,1,2,1,2,-,2,-,1,1,-,-,1,1,1,-,4,-,-,4,-,-,1,-,-,2,1,-,1,-,-,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,5,98
 Female,17,6,3,1,3,1,2,-,3,-,-,-,1,1,-,1,-,3,-,1,-,-,1,1,-,1,1,1,1,-,2,-,1,-,-,1,-,-,1,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,1,2,-,-,1,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-,3,73
 Total,32,15,6,2,8,1,4,1,3,-,-,-,1,1,-,2,1,3,3,1,1,-,2,2,-,4,2,1,1,-,3,-,1,1,1,4,-,1,2,1,5,-,2,4,1,2,-,2,-,1,1,-,-,1,1,1,-,5,-,-,5,-,-,1,-,-,3,1,-,2,2,-,1,1,-,-,-,-,3,-,4,2,1,-,-,-,-,-,-,-,8,171
AREA # 130651,Minengaw(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,6,2,1,2,1,-,-,-,1,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,1,-,-,1,2,2,-,-,1,1,-,-,1,-,1,1,-,1,2,-,-,1,-,1,3,-,2,-,3,-,2,-,1,-,-,1,2,2,-,-,2,1,-,1,-,-,-,-,-,-,3,-,2,-,2,2,-,1,-,1,1,-,1,1,-,4,71
 Female,5,1,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,2,-,-,-,1,1,-,1,-,1,1,1,-,-,-,-,-,-,-,2,-,-,1,-,1,1,1,1,-,-,1,1,1,-,1,-,1,4,2,-,1,-,1,3,-,-,1,-,1,-,-,-,1,1,-,-,-,1,-,-,-,-,2,1,-,-,-,1,1,1,-,-,5,56
 Total,11,3,1,2,2,-,-,1,1,-,-,1,1,1,-,-,-,-,2,1,1,-,1,1,-,2,-,1,2,3,2,-,-,1,1,-,-,3,-,1,2,-,2,3,1,1,1,-,2,4,1,2,1,3,1,6,2,1,1,-,2,5,2,-,1,2,2,-,1,-,1,1,-,-,-,4,-,2,-,2,4,1,1,-,1,2,1,2,1,-,9,127
AREA # 130652,Minelon(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,8,2,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,5,-,1,1,2,2,-,1,-,1,1,1,-,1,1,1,3,1,3,1,-,4,1,1,-,5,1,-,2,1,1,1,2,3,-,2,4,2,-,2,-,-,2,-,2,-,1,5,-,4,-,2,-,1,1,1,-,-,1,2,97
 Female,8,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,1,-,-,-,-,2,1,-,1,-,-,-,2,-,-,2,1,-,2,-,-,2,3,-,1,3,1,-,1,2,-,-,1,-,1,-,1,1,2,1,1,2,-,-,1,-,2,56
 Total,16,4,-,1,-,1,-,-,1,-,1,-,-,-,1,-,-,-,1,1,-,-,-,-,1,-,-,-,-,1,2,5,-,2,1,2,2,1,1,-,2,1,2,-,2,1,1,3,1,5,2,-,5,1,1,-,7,1,-,4,2,1,3,2,3,2,5,4,3,3,3,-,1,4,-,2,1,1,6,-,5,1,4,1,2,3,1,-,1,1,4,153
AREA # 130701,Kunlon,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,11,4,2,-,1,1,-,-,-,-,-,-,4,1,1,-,1,1,1,-,3,1,-,1,1,2,1,2,1,3,1,-,-,2,-,2,1,-,-,-,2,-,-,1,1,3,4,-,-,1,2,1,1,2,3,1,4,3,3,-,4,3,-,-,-,4,3,3,1,2,3,2,3,-,2,2,1,1,1,1,3,4,3,1,2,1,1,1,-,1,3,137
 Female,9,4,1,-,-,-,-,-,1,2,1,-,1,2,1,-,-,1,-,-,2,1,-,-,1,1,1,-,-,-,3,-,-,-,-,2,1,-,2,1,1,1,2,-,-,1,-,1,1,-,3,-,-,1,-,2,-,-,-,-,1,1,-,2,-,2,1,1,1,-,3,1,1,-,1,3,4,-,3,-,-,1,3,5,4,1,1,3,1,1,3,99
 Total,20,8,3,-,1,1,-,-,1,2,1,-,5,3,2,-,1,2,1,-,5,2,-,1,2,3,2,2,1,3,4,-,-,2,-,4,2,-,2,1,3,1,2,1,1,4,4,1,1,1,5,1,1,3,3,3,4,3,3,-,5,4,-,2,-,6,4,4,2,2,6,3,4,-,3,5,5,1,4,1,3,5,6,6,6,2,2,4,1,2,6,236
AREA # 130801,Laukine,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,8,1,4,1,1,2,1,1,-,-,-,1,2,-,-,-,-,-,-,1,1,-,-,-,-,2,-,-,2,-,2,1,-,1,3,2,1,1,-,1,-,-,1,2,-,2,1,2,2,1,-,2,1,1,1,1,1,1,2,-,2,3,1,1,-,-,2,-,1,-,2,1,-,1,1,1,2,-,1,2,3,2,1,1,1,4,-,-,1,-,2,97
 Female,-,3,-,-,-,-,1,1,-,-,3,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,1,1,1,-,-,-,-,-,1,-,2,-,1,-,-,-,2,1,-,-,-,-,1,-,-,1,2,1,-,1,2,1,3,1,2,-,-,1,1,-,-,-,2,48
 Total,8,4,4,1,1,2,2,2,-,-,3,1,2,-,-,-,1,-,-,1,1,2,-,-,-,2,-,-,3,1,3,1,1,1,3,2,1,1,1,1,-,-,3,2,-,2,2,2,3,2,1,2,1,1,1,1,2,1,4,-,3,3,1,1,2,1,2,-,1,-,3,1,-,2,3,2,2,1,3,3,6,3,3,1,1,5,1,-,1,-,4,145
AREA # 130802,Kongyan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,5,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,2,1,1,2,-,1,1,1,-,1,1,-,-,2,-,1,1,1,-,-,3,1,1,1,-,-,-,-,1,1,1,-,-,1,-,2,1,-,1,1,2,1,-,-,2,-,-,-,53
 Female,4,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,1,1,2,-,-,-,-,-,2,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,32
 Total,9,1,-,2,-,1,-,-,1,-,-,-,-,-,-,-,3,2,-,1,1,-,1,1,-,2,-,-,-,-,1,1,-,-,1,-,-,2,-,-,2,-,-,2,2,2,4,-,1,1,1,-,3,1,1,-,3,-,1,1,2,-,-,3,1,1,1,-,-,-,2,1,2,2,-,-,1,1,3,2,-,1,1,2,1,-,-,2,-,-,1,85
AREA # 130851,Chinshwehaw(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
 Total,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
AREA # 130852,Mawhtike(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,1,-,-,-,-,2,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,-,2,1,1,-,1,1,-,-,1,2,1,3,2,-,-,2,-,1,2,-,-,-,1,-,2,1,-,-,1,1,1,-,-,-,-,-,-,-,-,2,45
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,1,-,-,-,-,1,4,1,-,-,-,1,-,2,1,-,-,1,-,-,25
