Sex,Occupation_Chief_executive_senior_officials_and_legislators,Occupation_Administrative_and_commercial_managers,Occupation_Production_and_specialized_services_managers,"Occupation_Hospitality,_retail_and_other_services_managers",Occupation_Science_and_engineering_professionals,Occupation_Health_professionals,Occupation_Teaching_professionals,Occupation_Business_and_administrative_professionals,Occupation_Information_and_communications_technology_professionals,"Occupation_Legal,_social_and_cultural_professionals",Occupation_Science_and_engineering_associate_professionals,Occupation_Health_associate_professionals,Occupation_Business_and_administrative_associate_professionals,"Occupation_Legal,_social_and_cultural_and_related_associate_professionals",Occupation_Information_and_communications_technicians,Occupation_General_and_keyboard_clerks,Occupation_Customer_services_clerks,Occupation_Numerical_and_material_recording_clerks,Occupation_Other_clerical_support_workers,Occupation_Personal_service_workers,Occupation_Sales_workers,Occupation_Personal_care_workers,Occupation_Protective_services_workers,Occupation_Market-oriented_skilled_agricultural_workers,"Occupation_Market-oriented_skilled_forestry,_fishery_and_hunting_workers","Occupation_Subsistence_farmers,_fishers,_hunters_and_gatherers","Occupation_Building_and_related_trades_workers,_excluding_electricians","Occupation_Metal,_machinery_and_related_trades_workers",Occupation_Handicraft_and_printing_workers,Occupation_Electrical_and_electronic_trades_workers,"Occupation_Food_processing,_wood_working,_garment_and_other_craft_and_related_trades_workers",Occupation_Stationary_plant_and_machine_operators,Occupation_Assemblers,Occupation_Drivers_and_mobile_plant_operators,Occupation_Cleaners_and_helpers,Occupation_Agricultural_forestry_and_fishery_labourers,"Occupation_Labourers_in_mining_,_construction,_manufacturing_and_transport",Occupation_Food_preparation_assistants,Occupation_Street_and_related_sales_and_service_workers,Occupation_Refuse_workers_and_other_elementary_workers,Occupation_Not_stated,Occupation_Total
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,5,12,1,-,-,-,15,-,-,2,-,-,195,-,-,30,-,-,4,-,56,-,21,4680,3,-,25,2,1,7,2,1,-,7,-,57,30,-,-,8,299,5463
 Female,1,4,-,-,-,-,22,-,-,-,-,25,4,-,-,10,-,-,7,-,50,1,-,3590,-,-,-,-,-,-,3,-,-,-,3,18,12,-,-,-,486,4236
 Total,6,16,1,-,-,-,37,-,-,2,-,25,199,-,-,40,-,-,11,-,106,1,21,8270,3,-,25,2,1,7,5,1,-,7,3,75,42,-,-,8,785,9699
NotApp :,10033,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131002,Pan San(Pan Kham),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,5,2,3,7,1,6,70,1,-,5,-,36,165,11,-,54,36,2,-,40,1148,6,52,18021,12,-,365,161,35,43,62,26,3,143,34,355,201,-,5,1324,2712,25152
 Female,1,2,-,5,1,3,84,-,-,2,-,22,71,4,-,17,28,-,1,53,768,10,1,14763,4,-,18,24,14,5,62,19,1,9,60,260,25,3,3,771,2540,19654
 Total,6,4,3,12,2,9,154,1,-,7,-,58,236,15,-,71,64,2,1,93,1916,16,53,32784,16,-,383,185,49,48,124,45,4,152,94,615,226,3,8,2095,5252,44806
NotApp :,59523,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131003,Naphang,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,-,-,-,-,-,2,52,1,-,1,-,3,41,-,-,3,-,-,-,3,123,-,-,28555,-,-,13,2,8,-,9,-,-,30,-,18,3,-,-,111,4387,33365
 Female,-,-,-,-,-,-,47,-,-,-,-,2,29,-,-,-,-,-,-,4,81,-,1,23552,-,-,-,-,1,1,15,-,-,6,2,8,1,-,-,81,4267,28098
 Total,-,-,-,-,-,2,99,1,-,1,-,5,70,-,-,3,-,-,-,7,204,-,1,52107,-,-,13,2,9,1,24,-,-,36,2,26,4,-,-,192,8654,61463
NotApp :,54717,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131051,ManKan(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,1,-,-,-,2,-,4,-,-,-,1,-,10,1,-,8,-,1,-,-,8,-,9,284,-,-,1,-,1,-,-,-,-,1,-,5,1,-,-,-,11,349
 Female,-,2,-,-,-,-,6,-,-,-,-,1,1,-,1,3,-,-,-,-,11,-,-,220,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,16,263
 Total,1,2,-,-,2,-,10,-,-,-,1,1,11,1,1,11,-,1,-,-,19,-,9,504,-,-,1,-,1,-,-,-,-,1,-,6,2,-,-,-,27,612
NotApp :,1031,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131101,Kengtung,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,201,29,14,11,49,53,96,16,-,127,2,23,1962,74,10,393,74,23,60,271,2486,11,184,29457,76,-,3106,663,128,124,485,120,2,1737,75,397,936,2,3,666,4469,48615
 Female,22,67,4,3,7,60,939,45,3,38,-,213,86,37,6,438,84,30,72,169,4299,14,16,18402,5,1,357,16,186,22,933,43,1,24,184,599,340,-,10,375,5127,33277
 Total,223,96,18,14,56,113,1035,61,3,165,2,236,2048,111,16,831,158,53,132,440,6785,25,200,47859,81,1,3463,679,314,146,1418,163,3,1761,259,996,1276,2,13,1041,9596,81892
NotApp :,89728,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131102,Minekat,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,11,1,-,-,2,-,11,-,-,7,-,-,238,5,-,48,2,-,7,10,58,2,10,10324,-,-,53,24,-,1,6,2,-,29,1,387,8,-,-,88,1369,12704
 Female,1,2,-,-,1,-,50,-,-,2,-,17,11,-,-,26,-,1,7,1,108,-,-,7085,-,-,1,-,-,-,10,-,-,1,3,267,3,-,-,58,1219,8874
 Total,12,3,-,-,3,-,61,-,-,9,-,17,249,5,-,74,2,1,14,11,166,2,10,17409,-,-,54,24,-,1,16,2,-,30,4,654,11,-,-,146,2588,21578
NotApp :,22950,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131103,Mineyan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,13,-,-,-,-,1,14,-,-,3,-,5,135,1,-,23,9,-,3,17,178,-,25,15408,10,-,89,45,7,5,7,14,-,77,6,34,41,-,-,37,646,16853
 Female,-,3,-,-,1,-,30,2,-,-,-,21,6,-,-,16,47,-,13,25,233,6,-,12446,1,-,8,1,2,-,60,11,-,-,13,19,3,-,1,20,487,13475
 Total,13,3,-,-,1,1,44,2,-,3,-,26,141,1,-,39,56,-,16,42,411,6,25,27854,11,-,97,46,9,5,67,25,-,77,19,53,44,-,1,57,1133,30328
NotApp :,22263,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131104,Minelar,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
