Identity_card,Sex_Male,Sex_Female,Sex_Total
 Associate Scrutiny Card (blue),39,31,70
 Naturalised Scrutiny Card (green),121,72,193
 National Registration Card (3-fold),285,450,735
 Religious card,604,81,685
 Temporary Registration Card (white),56,49,105
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,11,8,19
 None,26552,35165,61717
 Child under 10 years,22509,22171,44680
 Total,113738,121989,235727
AREA # 140104,Ngaputaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43120,41677,84797
 Associate Scrutiny Card (blue),37,26,63
 Naturalised Scrutiny Card (green),122,66,188
 National Registration Card (3-fold),270,291,561
 Religious card,220,7,227
 Temporary Registration Card (white),66,35,101
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,8,9,17
 None,21612,24097,45709
 Child under 10 years,18726,18383,37109
 Total,84182,84594,168776
AREA # 140105,Pathein,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),89111,100919,190030
 Associate Scrutiny Card (blue),388,400,788
 Naturalised Scrutiny Card (green),325,226,551
 National Registration Card (3-fold),401,623,1024
 Religious card,1312,218,1530
 Temporary Registration Card (white),350,151,501
 Foreign Registration Card (FRC),98,83,181
 Foreign Passport,41,25,66
 None,22653,24525,47178
 Child under 10 years,22984,22238,45222
 Total,137663,149408,287071
AREA # 140106,Yekyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30673,34865,65538
 Associate Scrutiny Card (blue),14,21,35
 Naturalised Scrutiny Card (green),45,33,78
 National Registration Card (3-fold),192,338,530
 Religious card,330,35,365
 Temporary Registration Card (white),33,37,70
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,12,6,18
 None,9353,10978,20331
 Child under 10 years,9154,8948,18102
 Total,49807,55263,105070
AREA # 140107,Thapaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41402,40358,81760
 Associate Scrutiny Card (blue),29,24,53
 Naturalised Scrutiny Card (green),82,53,135
 National Registration Card (3-fold),344,505,849
 Religious card,357,21,378
 Temporary Registration Card (white),60,55,115
 Foreign Registration Card (FRC),2,6,8
 Foreign Passport,42,16,58
 None,17453,22090,39543
 Child under 10 years,15892,15609,31501
 Total,75663,78737,154400
AREA # 140151,Ngayokaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12462,11946,24408
 Associate Scrutiny Card (blue),3,3,6
 Naturalised Scrutiny Card (green),45,9,54
 National Registration Card (3-fold),120,142,262
 Religious card,62,2,64
 Temporary Registration Card (white),28,18,46
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,4,4,8
 None,4340,4465,8805
 Child under 10 years,3851,3689,7540
 Total,20915,20279,41194
AREA # 140152,Hainggyikyun(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33755,31297,65052
 Associate Scrutiny Card (blue),22,19,41
 Naturalised Scrutiny Card (green),50,30,80
 National Registration Card (3-fold),264,315,579
 Religious card,269,11,280
 Temporary Registration Card (white),51,46,97
 Foreign Registration Card (FRC),7,8,15
 Foreign Passport,9,7,16
 None,12894,14518,27412
 Child under 10 years,10594,10343,20937
 Total,57915,56594,114509
AREA # 140153,Shwethaungyan(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15203,15570,30773
 Associate Scrutiny Card (blue),6,11,17
 Naturalised Scrutiny Card (green),29,13,42
 National Registration Card (3-fold),43,53,96
 Religious card,83,9,92
 Temporary Registration Card (white),24,16,40
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,47,41,88
 None,4694,5031,9725
 Child under 10 years,4360,4303,8663
 Total,24490,25048,49538
AREA # 140154,Ngwehsaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13530,12578,26108
 Associate Scrutiny Card (blue),12,11,23
 Naturalised Scrutiny Card (green),40,19,59
 National Registration Card (3-fold),77,85,162
 Religious card,58,3,61
 Temporary Registration Card (white),21,8,29
 Foreign Registration Card (FRC),3,8,11
 Foreign Passport,116,114,230
 None,4424,4540,8964
 Child under 10 years,4370,4359,8729
 Total,22651,21725,44376
AREA # 140155,Ngathaingchaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),24725,26700,51425
 Associate Scrutiny Card (blue),24,38,62
 Naturalised Scrutiny Card (green),58,37,95
 National Registration Card (3-fold),266,441,707
 Religious card,266,52,318
 Temporary Registration Card (white),95,138,233
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,4,7,11
 None,9077,11114,20191
 Child under 10 years,8063,7921,15984
 Total,42580,46450,89030
AREA # 140201,Kyaiklatt,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),57194,59328,116522
 Associate Scrutiny Card (blue),25,30,55
 Naturalised Scrutiny Card (green),295,262,557
 National Registration Card (3-fold),196,353,549
 Religious card,574,30,604
 Temporary Registration Card (white),100,83,183
 Foreign Registration Card (FRC),11,33,44
 Foreign Passport,19,20,39
 None,16581,19061,35642
 Child under 10 years,19842,19303,39145
 Total,94837,98503,193340
AREA # 140202,Daydaye,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),55548,56622,112170
 Associate Scrutiny Card (blue),62,67,129
 Naturalised Scrutiny Card (green),204,185,389
 National Registration Card (3-fold),226,376,602
 Religious card,728,48,776
 Temporary Registration Card (white),117,93,210
 Foreign Registration Card (FRC),14,5,19
 Foreign Passport,16,21,37
 None,22225,25669,47894
 Child under 10 years,20474,20226,40700
 Total,99614,103312,202926
AREA # 140203,Phyapon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51657,53279,104936
 Associate Scrutiny Card (blue),76,60,136
 Naturalised Scrutiny Card (green),212,221,433
 National Registration Card (3-fold),220,272,492
 Religious card,854,56,910
 Temporary Registration Card (white),83,67,150
 Foreign Registration Card (FRC),43,53,96
 Foreign Passport,21,21,42
 None,20339,23376,43715
 Child under 10 years,18407,18026,36433
 Total,91912,95431,187343
AREA # 140204,Bogale,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),76934,68868,145802
 Associate Scrutiny Card (blue),56,67,123
 Naturalised Scrutiny Card (green),235,186,421
 National Registration Card (3-fold),681,1009,1690
 Religious card,991,46,1037
 Temporary Registration Card (white),315,317,632
 Foreign Registration Card (FRC),12,21,33
 Foreign Passport,33,42,75
 None,44162,57532,101694
 Child under 10 years,35877,35281,71158
 Total,159296,163369,322665
AREA # 140251,Ahmar(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28076,24848,52924
 Associate Scrutiny Card (blue),16,22,38
 Naturalised Scrutiny Card (green),38,26,64
 National Registration Card (3-fold),114,165,279
 Religious card,230,6,236
 Temporary Registration Card (white),31,30,61
 Foreign Passport,7,18,25
 None,19597,22431,42028
 Child under 10 years,15585,15539,31124
 Total,63694,63085,126779
AREA # 140301,Nyaungdon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),62856,64767,127623
 Associate Scrutiny Card (blue),21,30,51
 Naturalised Scrutiny Card (green),120,77,197
 National Registration Card (3-fold),460,668,1128
 Religious card,799,85,884
 Temporary Registration Card (white),87,66,153
 Foreign Registration Card (FRC),23,17,40
 Foreign Passport,17,16,33
 None,20892,24261,45153
 Child under 10 years,20438,20206,40644
 Total,105713,110193,215906
AREA # 140302,Danubyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51521,55324,106845
 Associate Scrutiny Card (blue),32,29,61
 Naturalised Scrutiny Card (green),100,91,191
 National Registration Card (3-fold),582,1045,1627
 Religious card,700,67,767
 Temporary Registration Card (white),39,33,72
 Foreign Registration Card (FRC),4,6,10
 Foreign Passport,6,9,15
 None,16558,21183,37741
 Child under 10 years,16233,15791,32024
 Total,85775,93578,179353
AREA # 140303,Pantanaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),67589,64812,132401
 Associate Scrutiny Card (blue),76,71,147
 Naturalised Scrutiny Card (green),229,163,392
 National Registration Card (3-fold),576,762,1338
 Religious card,699,60,759
 Temporary Registration Card (white),141,117,258
 Foreign Registration Card (FRC),10,18,28
 Foreign Passport,16,29,45
 None,33154,44854,78008
 Child under 10 years,25632,25588,51220
 Total,128122,136474,264596
AREA # 140304,Maubin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),82796,82511,165307
 Associate Scrutiny Card (blue),91,105,196
 Naturalised Scrutiny Card (green),201,148,349
 National Registration Card (3-fold),530,791,1321
 Religious card,1077,213,1290
 Temporary Registration Card (white),121,114,235
 Foreign Registration Card (FRC),15,39,54
 Foreign Passport,15,20,35
 None,36819,46608,83427
 Child under 10 years,31275,30604,61879
 Total,152940,161153,314093
AREA # 140401,Myaungmya,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),77707,78965,156672
 Associate Scrutiny Card (blue),94,95,189
 Naturalised Scrutiny Card (green),232,135,367
 National Registration Card (3-fold),406,623,1029
 Religious card,864,159,1023
 Temporary Registration Card (white),102,89,191
 Foreign Registration Card (FRC),42,51,93
 Foreign Passport,25,24,49
 None,36963,43526,80489
 Child under 10 years,29537,28998,58535
 Total,145972,152665,298637
AREA # 140402,Wakema,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),75793,75616,151409
 Associate Scrutiny Card (blue),43,62,105
 Naturalised Scrutiny Card (green),292,122,414
 National Registration Card (3-fold),1669,2022,3691
 Religious card,826,80,906
 Temporary Registration Card (white),96,93,189
 Foreign Registration Card (FRC),7,6,13
 Foreign Passport,25,29,54
 None,33231,41875,75106
 Child under 10 years,28716,28503,57219
 Total,140698,148408,289106
AREA # 140403,Einme,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),53421,55093,108514
 Associate Scrutiny Card (blue),25,28,53
 Naturalised Scrutiny Card (green),93,66,159
 National Registration Card (3-fold),175,248,423
 Religious card,430,25,455
 Temporary Registration Card (white),64,54,118
 Foreign Registration Card (FRC),6,7,13
 Foreign Passport,17,19,36
 None,20837,24902,45739
 Child under 10 years,19561,19030,38591
 Total,94629,99472,194101
AREA # 140501,Mawlamyinegyun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),84250,83180,167430
 Associate Scrutiny Card (blue),48,40,88
 Naturalised Scrutiny Card (green),146,100,246
 National Registration Card (3-fold),177,229,406
 Religious card,976,80,1056
 Temporary Registration Card (white),178,150,328
 Foreign Registration Card (FRC),7,4,11
 Foreign Passport,25,29,54
 None,35086,42463,77549
 Child under 10 years,32234,31938,64172
 Total,153127,158213,311340
AREA # 140502,Labutta,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),55752,48790,104542
 Associate Scrutiny Card (blue),58,47,105
 Naturalised Scrutiny Card (green),105,52,157
 National Registration Card (3-fold),406,498,904
 Religious card,554,43,597
 Temporary Registration Card (white),91,56,147
 Foreign Registration Card (FRC),5,5,10
 Foreign Passport,17,18,35
 None,32869,41379,74248
 Child under 10 years,24889,24295,49184
 Total,114746,115183,229929
AREA # 140551,Pyinsalu(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),21429,16493,37922
 Associate Scrutiny Card (blue),7,9,16
 Naturalised Scrutiny Card (green),41,20,61
 National Registration Card (3-fold),129,92,221
 Religious card,136,7,143
 Temporary Registration Card (white),28,23,51
 Foreign Passport,4,1,5
 None,11298,13467,24765
 Child under 10 years,11094,11011,22105
 Total,44166,41123,85289
AREA # 140601,Kyangin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30712,35014,65726
 Associate Scrutiny Card (blue),10,12,22
 Naturalised Scrutiny Card (green),35,23,58
 National Registration Card (3-fold),166,226,392
 Religious card,330,46,376
 Temporary Registration Card (white),60,65,125
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,2,2,4
 None,7345,8395,15740
 Child under 10 years,6960,6676,13636
 Total,45623,50460,96083
AREA # 140602,Zalun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),45886,49287,95173
 Associate Scrutiny Card (blue),27,18,45
 Naturalised Scrutiny Card (green),109,56,165
 National Registration Card (3-fold),663,1226,1889
 Religious card,441,31,472
 Temporary Registration Card (white),44,31,75
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,8,13,21
 None,16862,22643,39505
 Child under 10 years,15612,15244,30856
 Total,79653,88550,168203
AREA # 140603,Myanaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),62243,71539,133782
 Associate Scrutiny Card (blue),27,45,72
 Naturalised Scrutiny Card (green),74,50,124
 National Registration Card (3-fold),290,472,762
 Religious card,652,138,790
 Temporary Registration Card (white),127,131,258
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,7,12,19
 None,21004,26195,47199
 Child under 10 years,17878,17693,35571
 Total,102303,116278,218581
AREA # 140604,Laymyethna,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),27953,29319,57272
 Associate Scrutiny Card (blue),9,13,22
 Naturalised Scrutiny Card (green),46,20,66
 National Registration Card (3-fold),144,202,346
 Religious card,294,37,331
 Temporary Registration Card (white),40,31,71
 Foreign Passport,7,12,19
 None,11698,14439,26137
 Child under 10 years,9470,9290,18760
 Total,49661,53363,103024
AREA # 140605,Hinthada,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),93999,106587,200586
 Associate Scrutiny Card (blue),155,156,311
 Naturalised Scrutiny Card (green),363,216,579
 National Registration Card (3-fold),850,1302,2152
 Religious card,1537,229,1766
 Temporary Registration Card (white),215,157,372
 Foreign Registration Card (FRC),28,28,56
 Foreign Passport,16,31,47
 None,33902,41579,75481
 Child under 10 years,28629,28456,57085
 Total,159694,178741,338435
AREA # 140606,Ingapu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),53804,58153,111957
 Associate Scrutiny Card (blue),20,46,66
 Naturalised Scrutiny Card (green),115,40,155
 National Registration Card (3-fold),419,657,1076
 Religious card,709,74,783
 Temporary Registration Card (white),93,85,178
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,9,7,16
 None,28651,34706,63357
 Child under 10 years,18556,18239,36795
 Total,102377,112007,214384
AREA # 150101,Tatkon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),64706,73493,138199
 Associate Scrutiny Card (blue),26,29,55
 Naturalised Scrutiny Card (green),155,62,217
 National Registration Card (3-fold),711,901,1612
 Religious card,764,49,813
 Temporary Registration Card (white),146,129,275
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,13,11,24
 None,17377,19335,36712
 Child under 10 years,19815,19368,39183
 Total,103715,113378,217093
AREA # 150102,Zeyarthiri,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),35346,35350,70696
 Associate Scrutiny Card (blue),13,16,29
 Naturalised Scrutiny Card (green),120,45,165
 National Registration Card (3-fold),356,441,797
 Religious card,344,27,371
 Temporary Registration Card (white),200,213,413
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,13,9,22
 None,8226,8885,17111
 Child under 10 years,11019,10664,21683
 Total,55642,55651,111293
AREA # 150103,Ottarathiri,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),25080,23400,48480
 Associate Scrutiny Card (blue),8,10,18
 Naturalised Scrutiny Card (green),79,41,120
 National Registration Card (3-fold),305,366,671
 Religious card,149,10,159
 Temporary Registration Card (white),171,200,371
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,11,5,16
 None,7069,8100,15169
 Child under 10 years,8435,8178,16613
 Total,41309,40311,81620
AREA # 150104,Pobbathiri,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),35823,37112,72935
 Associate Scrutiny Card (blue),17,16,33
 Naturalised Scrutiny Card (green),85,52,137
 National Registration Card (3-fold),493,685,1178
 Religious card,425,29,454
 Temporary Registration Card (white),282,368,650
 Foreign Registration Card (FRC),3,-,3
 Foreign Passport,49,18,67
 None,8374,9461,17835
 Child under 10 years,11775,11424,23199
 Total,57326,59165,116491
AREA # 150201,Pyinmana,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),55227,61641,116868
 Associate Scrutiny Card (blue),64,83,147
 Naturalised Scrutiny Card (green),275,194,469
 National Registration Card (3-fold),739,1028,1767
 Religious card,813,153,966
 Temporary Registration Card (white),508,655,1163
 Foreign Registration Card (FRC),24,22,46
 Foreign Passport,11,25,36
 None,15888,16289,32177
 Child under 10 years,17182,16744,33926
 Total,90731,96834,187565
AREA # 150202,Lewe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),77093,82409,159502
 Associate Scrutiny Card (blue),57,57,114
 Naturalised Scrutiny Card (green),338,134,472
 National Registration Card (3-fold),862,1258,2120
 Religious card,909,67,976
 Temporary Registration Card (white),273,201,474
 Foreign Registration Card (FRC),4,5,9
 Foreign Passport,28,38,66
